name,id,latitude,longitude,address,working_day,name_en,address_en,working_day_en
ท่าแพ เชียงใหม่,IC52163,18.787925,98.993103,2-6 ถ.ราชดำเนิน ต. ศรีภูมิ อ. เมือง เชียงใหม่ 50200,จันทร์-อาทิตย์ 08.00-24.00 น. ,THAPAE,2-6 Ratchadamnoen Rd . Chinangmai Thailand 50200,Monday-Sunday 08.00-24.00 
ปตท. แม่ริม เชียงใหม่,IC273403,18.9215583,98.9400158,ปตท.แม่ริม ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT Mae Rim Chaingmai,"PTT Mae Rim Chiangmai Rim Tai,Mae Rim District ,Chiangmai 50180",Monday-Sunday 07.00-22.00 
อ่าวนาง,IC57220,8.031594,98.822495,ชั้น2 อ่าวนาง ปทุมวัน อ.เมืองกระบี่ จ.กระบี่ 81180,จันทร์-อาทิตย์ 07.00-24.00 น. ,AO NANG,"2nd Floor, Ao Nang, Pathumwan, Mueang Krabi District, Krabi 81180",Monday-Sunday 07.00-24.00 
ภูเก็ตแอร์พอร์ต,IC52142,8.10633096,98.30581531,ท่าอากาศยานภูเก็ต ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต 83110,ทุกวัน ตลอด 24 ชม.,PHUKET AIRPORT 3RD FLOOR AIRSIDE,Phuket Airport Maikao Talang Phuket 83110,Every day 24 hrs.
ท่าอากาศยานภูเก็ต เทอร์นอล 2 แลนด์ไซด์ ชั้น 4,IC52183,8.105475,98.305614,ท่าอากาศยานภูเก็ต : เทอมินอล 2 ระหว่างประเทศ (แลนด์ไซด์ ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_HKT-T2(LS),"Phuket Airport  - Terminal 2 International (Landside , 4th Floor)",Every day 24 hrs.
ปตท. ภูเก็ต,IC139521,8.004588,98.343011,เลขที่ 205 หมู่1 แขวงศรีสุนทร เขตถลาง จังหวัดภูเก็ต 83110,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT PHUKET,"205 /1 PTT Gas Station Sri sunthon Tambol  Thalang, Phuket 83110",Monday-Sunday 7.00-22.00 
โบ๊ท อเวนิว,IC139522,7.993093,98.305807,ต.เชิงทะเล อ.ถลาง ภูเก็ต 83110,จันทร์-อาทิตย์ 8.00-23.00 น. ,Boat Avenue,"Choeng Thale Subdistrict, Thalang District, Phuket 83110",Monday-Sunday 8.00-23.00 
ป่าตอง บางลา,IC189329,7.894638,98.295604,"25, 27 ถนนทวีวงศ์ ป่าตอง กระทู้ จังหวัด ภูเก็ต",จันทร์-อาทิตย์ 7.00-23.00 น. ,Patong Bangla,"25, 27 Thaweewong, Patong, Kathu, Phuket Province",Monday-Sunday 7.00-23.00 
จังซีลอน 1,IC52143,7.892422,98.29865,ศูนย์การค้าจังซีลอนภูเก็ต เลขที่ 181 ห้องเลขที่ 1108   ชั้น 1 ถ.ราษฏร์อุทิศ 200 ปี ต.ป่าตอง อ.กระทู้ จ. ภูเก็ต 83150,ทุกวัน 11.00-23.00 น.,PHUKET JUNGCEYLON,"Jungceylon 181,Suite 1108,Floor 1,Kathu,Kathi District,Phuket 83150",Every day 11.00-23.00
เชลล์เจ้าฟ้า,IC139516,7.868164,98.355607,สถานีบริการน้ำมันเชลล์ 90/12  หมู่2 ถนนเจ้าฟ้า ต.วิชิต อ. เมืองภูเก็ต จ. ภูเก็ต,จันทร์-อาทิตย์ 7.00-23.00 น. ,SHELL CHAOFAH WEST PHUKET,"Shell Gas Station 90/12 Moo 2 Chao Fa Road, Wichit Subdistrict, Mueang Phuket District, Phuket 83000",Monday-Sunday 7.00-23.00 
