name,location,latitude,longitude
BIG C BANGPHLI (DRIVE-THRU),"34 Moo 9, Bangphli Yai, Bangphli, Samut Prakarn 10540",13.602534,100.708002
PATTAYA SOI BUAKAO,"210/35 Moo 9 Nongprue, Banglamung, Chonburi 20150",12.930584,100.885991
PATA PINKLAO,"35 &37 Somdet Prapinklao Road, Bangyeekhan, Bangplad, Bangkok 10700",13.771378,100.48395
SEACON SQUARE 1,"55 Srinakarin Road, Nongbon, Pravet, Bangkok 10250",13.694485,100.648005
BUMRUNGRAD,"33 Soi Sukhumvit 3 (Nana Nua), Sukhumvit Road, Klongtoey, Bangkok 10110",13.746889,100.552433
"PATONG BEACH, PHUKET","96 Taweewong Road, Patong, Kratoo, Phuket 83120",7.891619,98.293991
THE AVENUE PATTAYA,"399/9 Pattaya Sai 2 Road, Nongprue, Banglamoong, Chonburi 20150",12.930033,100.880826
CENTRAL AIRPORT CHIANGMAI,"2 Mahidol Road, 252-252/1 Wualai Road, Haiya, Muang Chiangmai, Chiangmai 50000",18.768362,98.975625
THE CIRCLE RAJCHAPRUEK (DRIVE-THRU),"39 Rajchapruek Road, Bangramad, Talingchan, Bangkok 10170",13.767267,100.443932
MAJOR RANGSIT,"439 Moo 2, Phaholyothin Road, Prachathipat, Thanyaburi, Pathumthani 12130",13.986886,100.61645
PORTO CHINO (DRIVE-THRU),"No. 99/123 ports TOSHINO Center , Building C , Moo 4, Tambon Na Muang Samut Sakhon , Samut Sakhon 74000 .",13.570046,100.289477
CENTRAL LAMPANG,"319 Highway Lampang-Ngao Road, Suandok, Muang Lampang, Lampang 52100",18.281763,99.49399
PASEO SUKHAPHIBAN 3 (DRIVE-THRU),"7/2 Ramkhamhaeng Road, Soi 127/3 Saphansung, Bangkok 10240",13.773737,100.666587
ESSO BANPHO 1 OUTBOUND (DRIVE-THRU),"88/6 Moo 3 Sanphudad, Banpho, Chachoengsao 24140",13.591308,101.013259
Bangsaen,"311,313,315,317,319,321 &323 Longhadbangsaen Road, Saensuk, Muang Chonburi, Chonburi 20130",13.283753,100.915813
FUTURE PARK RANGSIT,"161 Moo 2 Phaholyothin Road (Vibhavadi Rangsit), Prachathipat, Thanyaburi, Phatumthani 12130
i .",13.989436,100.616611
CHIANGMAI NIGHT BAZAAR,"145/26 Changklan Road, Changklan, Muang, Chiangmai 50100",18.785055,99.00099
CENTRAL CHANGWATTANA,"99 Moo 2, Changwattana Road, Bangtalad, Pakkred, Nonthaburi 11120",13.904066,100.527451
CENTRAL UDORNTHANI,"277/3 Prachak Silapakom Road, Markkang, Muang, Udornthani 41000",17.405122,102.800112
