store_uid,store_id,store_number,name,address,lat,lng,open_time,close_time,store_type,has_tx
329,1443,203109,Pizza Com Saintlouis 3,"No.97 Soi Chan 18/7(Saintlouis 3), Chan Rd., Thungwatdonm, Sathon, Bangkok 10120",13.7089120,100.5266620,10:00:00,00:30:00,DLC,False
509,2666,270922,Pizza Com Gateway Bangsue,"No.162/1-2, 168/10 Pracharat Sai 2 Rd., Bangsue, Bangsue, Bangkok 10800",13.8057530,100.5240000,,,FSR,False
350,2071,203160,Pizza Com Kaset,"1949-1950 Phaholyothin Rd., Ladyao Sub District, Jatujak District, Bangkok 10900",13.8392630,100.5751630,10:00:00,00:30:00,DLC,False
297,1328,203057,Pizza Com Prachachuen,"No.12/2-3 Tadsabansongkro Rd., Ladyao, Chatujak, Bangkok 10900",13.8407260,100.5456350,10:00:00,00:30:00,DLC,False
405,1370,270111,Pizza Com Big C Ladprao,"Big C Extra Super Center Ladprao Room RT-7 No.669 Ladprao Rd., Ladyao, Jatujak, Bangkok 10900",13.8097930,100.5683130,10:00:00,22:00:00,RBD,False
122,2546,270057,Pizza Com JJ Mall,"JJ Mall 588 F Floor, Room F49 Kamphengphet 2 Rd., Chatujak, Chatujak, Bangkok 10900",13.8018000,100.5487150,10:00:00,22:00:00,RBD,False
1162,1329,203058,Pizza Com Charoenkrung 72,"No.2000/5 Soi Chareonkrung 72 Chareonkrung Rd., Wat Prayakrai, Bangkoalaem, Bangkok 10120",13.7074720,100.5084280,10:00:00,22:00:00,DLC,False
83,1293,203035,Pizza Com Chalermprakiet 72,"No.243/3 Moo 7, Chalermprakiet R.9 Rd., Pravet, Pravet, Bangkok 10520",13.7155345,100.6964254,10:00:00,22:00:00,DLC,False
332,1431,203111,Pizza Com Onnut 70/1,"No.199/2 Soi Onnut 70/1, Onnut Rd., Pravet, Pravet, Bangkok 10250",13.7158310,100.6540330,10:00:00,00:30:00,DLC,False
1143,1270,201036,Pizza Com Seacon Square,"904 4th Srinakarin Rd., Nongbon Pravet Bangkok 10250",13.6950700,100.6479530,10:00:00,21:00:00,FSR,False
204,1268,201027,Pizza Com Paradise Park,"Paradise Park No.12/90 Moo 6 Srinakarin Rd., Nongbon, Pravet, Bangkok 10250",13.6876960,100.6476430,10:00:00,21:30:00,RBD,False
1161,1382,203069,Pizza Com Ramkhamhaeng 2,"No.218 Room 1-01 Moo 8 Ramkramhang 2 Rd., Dokmai Pravet Bangkok 10250",13.6679110,100.6832780,10:00:00,00:30:00,DLC,False
1130,1237,203006,Pizza Com Sukhumvit 71,"No.1000/6-7 Soi Sukhumvit 71 Sukhumvit Rd., Klongton, Klongtoei, Bangkok 10110",13.7333470,100.5974310,10:00:00,00:30:00,DLC,False
