lat,lng,address,type,content
14.522046,100.92247,,dq,Lotus Saraburi
14.52436,100.918091,,dq,Thaveekit Saraburi
14.543289,100.952708,,dq,Robinson Saraburi
14.524711,100.924724,,dq,Suk Anan Park Saraburi
14.8816221,100.4303149,,dq,Lotus Lopburi
14.896457,100.399399,,dq,Chaisaeng Singburi
19.887851,99.837599,,dq,Big C Chiangrai
19.886598,99.833503,,dq,Central Plaza Chiangrai
20.407419,99.883553,,dq,Lotus Maesai
20.243594,100.410305,,dq,Lotus Chiang Khong
14.058599,101.39594,,dq,Robinson Prachinburi
9.383448,99.17048,,dq,"Lotus Chaiya, 1 fl."
15.1820917,100.134188,,dq,Lotus Chainat
18.28209,99.494929,,dq,"Central Plaza Lampang, 3 fl."
18.2765,99.4815,,dq,Big C Lampang
15.270951,104.839755,,dq,Big C Ubonratchathani
15.255974,104.848131,,dq,Sunee Plaza
15.181148,104.856239,,dq,Lotus Warin Chamrap
15.252645,104.852415,,dq,Lotus Ubonratchathani
14.910214,105.068069,,dq,Lotus Detudom
15.239227,104.823285,,dq,Central Plaza Ubonratchathani
15.243168,105.229563,,dq,Big C Phibun Mangsahan
17.011058,99.772707,,dq,Big C Sukhothai
9.148528,99.336368,,dq,Sahathai Garden Plaza Suratthani
8.459495,98.531883,,dq,Nk Shopping Mall Phangnga
14.631904,103.85299,,dq,Lotus Sangkha Surin
18.777888,100.758074,,dq,Big C Nan
9.002033,99.885466,,dq,Lotus Sichon Nakhon Si Thammarat
14.9733,103.0645,,dq,Robinson Buriram
6.859148,101.232397,,dq,Big C Pattani
15.812441,102.023771,,dq,Lotus Chaiyaphum
14.631883,103.407405,,dq,Lotus Prasat Surin
16.439896,100.341771,,dq,Happy Plaza Phichit
13.733542,100.534475,,dq,"Chulalongkorn Hospital, 1 fl."
17.4054,102.8032,,dq,"Central Plaza Udonthani, 4 fl."
17.3853,102.8272,,dq,Big C Udonthani
17.3821,102.7459,,dq,Lotus Udon Nadi
17.4307,102.7865,,dq,Lotus Udonthani
17.4037,102.8032,,dq,"Central Plaza Udonthani, G fl."
17.1112,103.0059,,dq,Lotus Kumphawapi
17.4089,102.7926,,dq,Tukcom Landmark Udonthani
16.701304,103.082594,,dq,Big C Kranuan Khon Kaen
6.5590259,101.2877648,,dq,Coliseum Yala
15.121331,104.307465,,dq,Big C Sisaket
15.1820917,100.134188,,dq,Lotus Mae Chan
18.13192,100.15016,,dq,Mark Four Plaza
9.972287,98.644655,,dq,Big C Ranong
8.381629,99.969511,,dq,"Central Plaza Nakhon Si Thammarat, 1 fl."
8.382072,99.969796,,dq,"Central Plaza Nakhon Si Thammarat, 3 fl."
13.5344,99.8115,,dq,Lotus Ratchaburi
13.5505,99.8229,,dq,Big C Ratchaburi
13.5342,99.8113,,dq,Lotus Banpong
13.794,99.9175,,dq,Robinson Ratchaburi
16.407414,103.102098,,dq,Lotus Chiang Yuen
6.745323,100.686445,,dq,Big C Nathawee Songkhla
15.214647,102.486664,,dq,Lotus Phimai Korat
14.9814661,102.0883824,,dq,Terminal 21 Korat
17.2131064,102.4296438,,dq,Lotus Nongbualamphu
17.8723,102.7423,,dq,Lotus Nongkhai
17.8524757,102.5738134,,dq,Lotus Thabo Nongkhai
18.358326,103.6440233,,dq,Lotus Buengkan
18.0277407,103.0806949,,dq,Asawann Phonphisai Nongkhai
12.5471511,99.9615398,,dq,Bluport Hua Hin
6.637596,100.071198,,dq,Big C Satun
15.518041,103.201821,,dq,Lotus Phayakkhaphum Phisai Mahasarakham
16.0481664,102.7130815,,dq,Big C Ban Phai Khon Kaen
19.911161,99.206929,,dq,Lotus Fang Chiangmai
15.269137,100.362162,,dq,Lotus Takhli
13.966073,100.585296,,dq,Rangsit University
12.684576,101.249594,,dq,Laemtong Rayong
12.684324,101.2696,,dq,Lotus Rayong
12.9835123,101.2119378,,dq,CK Plaza Pluakdaeng
12.699206,101.268,,dq,Big C Rayong Bankai
12.7857,101.6624,,dq,Lotus Klaeng Rayong
12.6957,101.269,,dq,"Central Plaza Rayong, 3 fl."
12.831163,101.2018,,dq,Lotus Nikom Pattana Rayong
14.004302,99.545443,,dq,Lotus Kanchanaburi
14.601352,100.682165,,dq,Robinson Kanchanaburi
14.048834,99.50821,,dq,Big C Kanchanaburi
13.6129654,100.8334904,,dq,ABAC University
14.360283,100.578695,,dq,Amporn Department Store Ayutthaya
14.335515,100.600413,,dq,Ayutthaya City Park
14.318,100.6114,,dq,Big C Ayutthaya
14.335381,100.611238,,dq,Ayutthaya City Park
14.3111,100.6454,,dq,Lotus Rojana Ayutthaya
13.7754284,100.506088,,dq,Suan Sunandha Rajabhat University
14.1888,100.6094,,dq,Lotus Bangpa-In
12.7208,101.047648,,dq,Lotus Ban Chang Rayong
14.6233597,102.791726,,dq,Lotus Nang Rong Buriram
13.063982,9.9946765,,dq,Robinson Phetchaburi
16.86577,99.135231,,dq,Lotus Tak
16.7156,98.5542,,dq,Lotus Mae Sot
16.722639,98.58636,,dq,Robinson Mae Sot
14.949503,102.055778,,dq,Big C Korat
13.804071,100.73715,,dq,Kasem Bundit University
15.813403,104.132525,,dq,Lotus Yasothon
14.997911,102.115165,,dq,Central Plaza Nakhon Ratchasima
17.011058,99.896924,,dq,Lotus Phayao
19.53048,100.302817,,dq,Lotus Chiang Kham
14.069268,100.604441,,dq,Thammasat University
13.7644264,100.5331642,,dq,Mahidol University Faculty of Dentistry
13.7563011,100.4840553,,dq,Siriraj Hospital
17.673642,103.251332,,dq,Big C Ban Dung Udonthani
13.1186,100.9205,,dq,Kasetsart University Sriracha Campus
16.2019922,103.2765113,,dq,Sermthai Complex 2
6.9914,100.4835,,dq,Central Festival Hatyai
13.8432326,100.5710623,,dq,Kasetsart University Bangkok Campus
17.3916,104.7795,,dq,Lotus Nakhon Phanom
16.9488,104.7248,,dq,Tesco Lotus Thatphanom
17.3931,104.766,,dq,Big C Nakhon Phanom
16.4759,99.5494,,dq,Robinson Kamphaengphet
15.597103,103.808272,,dq,Big C Suwannaphum Roi Et
16.435479,100.358401,,dq,Lotus Phichit
13.7443,100.5618,,dq,Midtown Asoke Plaza
13.781,100.423,,dq,SC Plaza - Southern Bus Terminal
7.0074,100.5,,dq,Songklanagarind Hospital
7.878,98.398,,dq,Phuket Grocery
14.074,100.61,,dq,Thammasat Hospital Rangsit
16.5488,104.7166,,dq,Lotus Mukdahan
16.5689,104.7189,,dq,Robinson Mukdahan
15.8816,104.6238,,dq,Big C Amnat Charoen
14.5808,100.458,,dq,Big C Angthong
16.301242,103.9782,,dq,Lotus Phon Thong Roi Et
17.393916,103.6993,,dq,Big C Phang Khon
8.062362,98.916816,,dq,Vogue Krabi
15.270951,104.839755,,dq,Big C Ubon Ratchathani
15.255974,104.848131,,dq,Sunee Plaza
15.181148,104.856239,,dq,Lotus Warin Chamrap
15.252645,104.852415,,dq,Lotus Ubonratchathani
14.910214,105.068069,,dq,Lotus Detudom
15.239227,104.823285,,dq,Central Plaza Ubonratchathani
15.243168,105.229563,,dq,Big C Phibun Mangsahan
9.936086,98.631397,,dq,Lotus Ranong
17.6362,100.0896,,dq,Sri Pong Park Uttaradit
8.9266872,98.8928938,,dq,Lotus Baan Takhun
12.684057,101.24964,,dq,Laemthong Rayong
12.239713,105.238896,,dq,Lotus Piboon Mangsahan
